cells,searched,pops,habitatSearched,Central,Low,High,alpha,beta,mu,var,Population,target,prior_ER
4061,622,6893.57,15.3%,76.4%,49.2%,100.0%,1.02,3.28,0.236194343658253,0.0340499962347308,0,Crassula connata,0.47
6,6,10.19,100.0%,95.5%,91.1%,99.8%,1.88,39.93,0.044925728759708,0.00100240386069389,44,Crassula connata,0.47
4067,628,6903.75,15.4%,89.1%,73.7%,100.0%,0.77,6.29,0.108682087770432,0.0120182946013508,all,Crassula connata,0.47
3710,338,1574.44,9.1%,76.5%,49.0%,100.0%,0.98,3.18,0.235128611134135,0.0348456856771433,0,Meconella oregana,0.5
357,205,151.5,57.4%,72.0%,48.1%,97.6%,1.9,4.89,0.279534783880357,0.0258567246491948,55,Meconella oregana,0.5
4067,543,1725.94,13.4%,73.5%,48.8%,99.4%,1.52,4.23,0.264732726298282,0.0288530449918445,all,Meconella oregana,0.5
3703,419,1571.47,11.3%,67.7%,37.9%,99.5%,1.38,2.9,0.322773814824945,0.0414341812531356,0,Plagiobothrys tenellus,0.3
7,6,2.97,85.7%,70.7%,50.1%,92.3%,3.18,7.67,0.292994914412078,0.0174930722398401,66,Plagiobothrys tenellus,0.3
357,205,151.5,57.4%,60.9%,36.3%,86.2%,3.61,5.61,0.3913486974325,0.0233084219701738,67,Plagiobothrys tenellus,0.3
4067,630,1725.94,15.5%,66.2%,41.6%,92.0%,2.74,5.36,0.338291852239016,0.0246078193675614,all,Plagiobothrys tenellus,0.3
4058,707,1,17.4%,75.9%,48.8%,100.0%,1.05,3.31,0.241131629699662,0.0341230708991737,0,Primula pauciflora,0.46
9,9,1,100.0%,95.9%,91.8%,99.9%,1.67,39.43,0.0405965873161714,0.000925224598970033,77,Primula pauciflora,0.46
4067,716,1,17.6%,89.1%,73.6%,100.0%,0.75,6.19,0.108577898137193,0.0121792831470358,all,Primula pauciflora,0.46
