cells,searched,pops,habitatSearched,Central,Low,High,alpha,beta,mu,var,Population,target,prior_ER
4061,622,17.23,15.3%,76.7%,39.3%,100.0%,0.51,1.67,0.232783653976859,0.0561191694406864,0,Crassula connata,0.47
6,6,1,100.0%,97.6%,94.5%,100.0%,0.93,38.32,0.0236124271899446,0.000572882342998284,44,Crassula connata,0.47
4067,628,17.26,15.4%,90.6%,71.5%,100.0%,0.32,3.11,0.0935429115530889,0.0191432125981853,all,Crassula connata,0.47
3710,338,3.94,9.1%,76.5%,38.3%,100.0%,0.49,1.61,0.234756544806521,0.0579190348604699,0,Meconella oregana,0.5
357,205,1,57.4%,74.4%,44.7%,100.0%,0.96,2.79,0.256373970531229,0.0400874582510087,55,Meconella oregana,0.5
4067,543,4.31,13.4%,75.1%,42.6%,100.0%,0.76,2.3,0.249115933277767,0.046074399016648,all,Meconella oregana,0.5
3703,419,3.93,11.3%,67.0%,26.6%,100.0%,0.72,1.47,0.330144130191215,0.0692212879254397,0,Plagiobothrys tenellus,0.3
7,6,1,85.7%,78.2%,58.0%,99.3%,1.66,5.98,0.217502047669454,0.019680861827871,66,Plagiobothrys tenellus,0.3
357,205,1,57.4%,64.1%,35.2%,95.1%,1.97,3.52,0.358923558743721,0.0354823761851709,67,Plagiobothrys tenellus,0.3
4067,630,4.31,15.5%,70.3%,42.6%,99.5%,1.42,3.35,0.296868673947011,0.0361772828634819,all,Plagiobothrys tenellus,0.3
4058,707,1,17.4%,62.5%,23.3%,100.0%,0.9,1.5,0.374836410522434,0.0689229874462214,0,Primula pauciflora,0.46
9,9,1,100.0%,97.9%,94.8%,100.0%,0.81,36.85,0.0213867226446693,0.000541425124686496,77,Primula pauciflora,0.46
4067,716,1,17.6%,82.0%,55.7%,100.0%,0.67,3.05,0.18029013642725,0.0312843117797062,all,Primula pauciflora,0.46
